dataset,optimiser,seed,train_rmse,test_rmse
ankara,ga,1,4.545680046081543,4.9711103439331055
ankara,ga,2,4.080208778381348,4.513955593109131
ankara,ga,3,4.9329938888549805,5.3214945793151855
ankara,ga,4,3.663346767425537,3.920332670211792
ankara,ga,5,4.212390899658203,4.5953850746154785
ankara,ga,6,4.29764986038208,4.643460273742676
ankara,ga,7,4.353656768798828,4.619107723236084
ankara,ga,8,4.8886494636535645,5.2693047523498535
ankara,ga,9,4.225579261779785,4.820558547973633
ankara,de,0,3.553415060043335,3.753248453140259
ankara,de,1,3.5856752395629883,3.8641197681427
ankara,de,2,3.18015193939209,3.306382417678833
ankara,de,3,3.7680182456970215,3.6544809341430664
ankara,de,4,3.8653931617736816,3.938004493713379
ankara,de,5,3.6198511123657227,3.9142239093780518
ankara,de,6,3.305665969848633,3.4975078105926514
ankara,de,7,3.216923236846924,3.5983726978302
ankara,de,8,3.1840267181396484,3.252634286880493
ankara,de,9,3.799154758453369,3.797842025756836
ankara,cmaes,0,5.432085990905762,5.774842739105225
ankara,cmaes,1,5.786258697509766,6.407459735870361
ankara,cmaes,2,5.088624477386475,5.379626750946045
ankara,cmaes,3,5.968074798583984,6.244586944580078
ankara,cmaes,4,5.476309776306152,6.019186019897461
ankara,cmaes,5,5.467395305633545,5.959697723388672
ankara,cmaes,6,5.097805500030518,5.69943904876709
ankara,cmaes,7,5.515987873077393,5.871805191040039
ankara,cmaes,8,5.985784530639648,6.482293128967285
ankara,cmaes,9,5.535238265991211,5.875002384185791
izmir,adam,0,2.5423569679260254,2.4476850032806396
izmir,adam,1,3.2948055267333984,3.249884843826294
izmir,adam,2,3.141150712966919,3.1929073333740234
izmir,adam,3,2.091611862182617,3.652141571044922
izmir,adam,4,2.838499069213867,2.742370367050171
izmir,adam,5,3.227644920349121,3.1497294902801514
izmir,adam,6,2.6102585792541504,2.503582239151001
izmir,adam,7,2.0312721729278564,2.0519471168518066
izmir,adam,8,2.0974817276000977,5.409432888031006
izmir,adam,9,2.185084819793701,2.1289124488830566
izmir,sgd,0,3.6872339248657227,3.6447112560272217
izmir,sgd,1,3.0884063243865967,2.964142322540283
